"r","y","pi"
1.41,7.89497631098239,0
1.47,7.91112311901891,0
2.15,7.92448049351139,0.749063670411987
2.5,7.93048026984537,-0.371747211895901
2.3,7.92661415146123,0
2.42,7.93482573603714,1.49253731343284
2.91,7.93400760529836,0.735294117647056
3.22,7.95023380514636,0.72992700729928
2.96,7.95665793089543,0.724637681159424
3.22,7.95443757938809,1.07913669064748
3.46,7.96413033604314,0.711743772241991
2.75,7.95382647754546,0.353356890459366
1.1,7.92756026321844,1.40845070422535
0.75,7.93413660204782,0.34722222222221
2.7,7.9569924324186,0
2.68,7.98011393730539,0
2.78,7.99854673114701,0
3.14,8.02257255472199,0.69204152249136
4.1,8.02064482746037,0.687285223367695
4.4,8.02456891357945,0.341296928327628
3.02,8.04660122913656,0
2.19,8.04279913834921,0.680272108843538
2.3,8.04528599152898,0
2.2,8.03310686483987,0.67567567567568
2.42,8.03988325600136,0
2.27,8.05830135687718,0
2.23,8.07483772476806,0.671140939597303
2.67,8.0949024224469,0
2.75,8.1127534574323,0.333333333333341
2.9,8.12347066849964,0.332225913621254
2.74,8.13295117185955,0.662251655629142
2.92,8.13682432174764,0
2.91,8.14789027780418,0.328947368421062
2.99,8.16084219500084,0.327868852459012
3.37,8.18017492574829,0.326797385620914
3.51,8.18728647452391,0.651465798045603
3.51,8.20868454361235,0
3.47,8.22050589335859,0.323624595469263
3.55,8.2339975730948,0.322580645161286
3.82,8.23753722344332,0.321543408360125
3.93,8.26190137810154,0.320512820512819
3.81,8.27547978263278,0.958466453674123
4.02,8.29558645859131,0
4.49,8.31889614328966,0.632911392405067
4.52,8.34328994103994,0.943396226415105
4.58,8.34737640309019,0.934579439252325
5.34,8.35447471259806,0.92592592592593
4.81,8.36301164444593,0.611620795107015
4.01,8.37215030939302,0.303951367781163
4,8.37302716528546,0.909090909090904
4.39,8.38162269265573,0.900900900900914
5.04,8.38964000792275,0.89285714285714
5.17,8.40974360628262,1.17994100294985
5.3,8.4264896248576,1.16618075801751
