"","alpha","beta"
"1",0.0357154597864722,1.03474033066006
"2",-0.0294538323297129,0.737723930028925
"3",-0.02241507157946,0.875069572722951
"4",-0.0247302072585801,0.841863447327915
"5",0.0310288161656579,0.894593859042151
"6",0.0187286556308011,0.847935279533692
"7",-0.00308457816938718,0.715996106886571
"8",0.0145244152861916,0.680858088784134
"9",-0.0109089427812628,0.774384982180534
"10",-0.0124423374494628,0.938724842463834
"11",0.0202179197878215,0.968935807397334
"12",-0.0300851887022263,1.05532972026048
"13",-0.00487680304486125,0.899666439963718
"14",0.00409885722442738,0.876074298278099
"15",-0.0493189512356336,1.07012579325215
"16",-0.0149948367493216,0.973728246138071
"17",-0.02870696389032,0.900446941597753
"18",-0.0184456433134869,0.81957343944993
"19",-0.0164368216321317,0.843263872539968
"20",-0.0228114157846436,0.956680121176553
"21",0.00776049180483519,0.823080414765359
"22",-0.0159325518765873,0.668756911211007
"23",0.00139159881098491,0.992738551847348
"24",-0.0235618592168562,0.664921006849027
"25",-0.0160508818310163,1.01915063455261
"26",-0.0138570817462638,0.845516508762093
"27",-0.0178174660648168,0.806155967101875
"28",0.00849015692658237,0.906309095698834
"29",0.0271453710362628,0.973941193021255
"30",-0.031786302650088,0.860002656210182
"31",-0.0145790401545235,1.05320785382245
"32",0.0291193159164743,0.990762460455225
"33",0.0276404404747949,0.81070524552526
"34",-0.035231879522102,0.628206641157972
"35",-0.0256540624562295,0.930836203792143
"36",-0.0199061787068727,0.896527242972347
"37",0.0473211202570193,0.690332443135471
"38",0.00818895018516434,0.684159965380011
"39",-0.0264653519218495,0.763762213140678
"40",-0.021091080847619,0.818485201324412
"41",0.014403425531376,1.0122262118741
"42",-0.0139975286853023,0.716086106659769
"43",0.0435186364433117,0.723890094506691
"44",0.0291583136359464,0.979730431696527
"45",-0.017119584790184,0.870544411639093
"46",0.00275132631289464,0.843266839831569
"47",0.0107178878058007,0.972348777448373
"48",-0.0283696844735222,1.08707245476401
"49",-0.0407150864746139,0.621157919591626
"50",0.029496168947513,0.933726884396814
