"price","ppi","fdd"
43.6,27.20000076,0
52.1,27.20000076,0
46.6,27.20000076,0
46.6,27.20000076,0
46.6,27.29924,0
46.6,27.39962,0
46.6,28,0
46.6,28.70000076,0
46.6,29.10000038,0
39.8,29.20000076,0
41.6,29.5,0
41.3,30,4
41.3,30.5,2
41.3,30.79924,1
41.3,30.79924,0
41.3,30.79924,0
44.3,30.89962,0
45.1,30.79924,0
42.1,30.79924,0
42.2,30.79924,0
41.3,30.79924,0
41.3,31,0
36,31,0
34.6,30.89962,0
34.6,30.79924,0
34.6,30.70000076,0
34.6,30.79924,0
34.6,30.60000038,0
30.1,30.60000038,0
30.1,30.5,0
34.6,30.79924,0
34.6,30.79924,0
34.6,30.79924,0
34.6,30.60000038,0
34.6,30.5,0
30.1,30.20000076,0
32.2,30.29924,0
32.2,30.20000076,0
32.2,30.20000076,0
34.6,30.10000038,0
34.6,30.20000076,0
36.7,30.20000076,0
39.2,30.5,0
41.7,30.5,0
41.7,30.60000038,0
41.7,30.5,0
41.7,30.39962,0
34.8,30.29924,0
34.8,30.5,0
29.3,30.39962,0
26.3,30.29924,0
29.7,30.5,0
36,30.5,0
36,30.29924,0
33.9,30.5,0
33.9,30.5,0
33.9,30.39962,0
32.7,30.29924,0
31,30.39962,0
31,30.29924,0
30.6,30.39962,3
30.6,30.5,0
32.9,30.29924,1
33.1,30.39962,0
33.1,30.29924,0
33.1,30.39962,0
35.2,30.39962,0
35.2,30.5,0
35.2,30.60000038,0
35.2,30.60000038,0
35.2,30.60000038,0
35.2,30.60000038,0
37.3,30.70000076,1
42.2,30.79924,0
37.3,30.89962,0
37.3,31,0
37.3,31.20000076,0
39.4,31.29924,0
39.4,31.29924,0
39.4,31.39962,0
35.2,31.70000076,0
35.2,31.79924,0
32.9,31.89962,0
32.9,31.89962,0
32.9,32.09847,0
32.9,32.20000076,0
32.9,32.09847,0
32.9,32.29924,0
28.7,32.29924,0
28.7,32.40000153,0
30.8,32.59847,0
32.9,32.59847,0
32.9,32.70000076,0
32.9,32.70000076,0
32.9,32.90000153,0
42.3,33,0
45.5,33.20000076,22
45.5,33.20000076,3
49.7,33.40000153,8
51.8,33.20000076,0
51.8,33.20000076,0
56.1,33.20000076,0
56.1,33.20000076,0
56.1,33.20000076,0
56.1,33.20000076,0
56.1,33.20000076,0
56.1,33.20000076,0
56.1,33.09847,0
45.5,33.20000076,0
45.5,33.20000076,6
45.5,33.20000076,0
45.1,33.20000076,0
50,33.20000076,0
50,33.09847,0
50,33.09847,0
50,33,0
50,33.40000153,0
50,33.09847,0
50,33,0
39.8,33,0
39.8,33.20000076,0
39.8,33.09847,2
39.8,33.40000153,0
39.8,33.40000153,0
39.8,33.29924,0
39.8,33.29924,0
39.8,33.5,0
39.8,33.40000153,0
42.2,33.40000153,0
43.1,33.70000076,0
43.1,33.70000076,0
43.1,33.59847,0
50.1,33.70000076,2
50.1,33.70000076,3
50.1,33.59847,0
50.1,33.29924,0
44.2,33.20000076,0
44.2,33.20000076,0
44.5,33.29924,0
44.5,33.40000153,0
44.5,33.29924,0
44.2,33.29924,0
44.2,33.40000153,0
44.2,33.40000153,0
39.8,33.59847,3
39.5,33.59847,1
35.2,33.5,0
35.2,33.40000153,0
35.2,33.29924,0
35.4,33.29924,0
35.7,33.40000153,0
35.7,33.5,0
35.5,33.79924,0
